station,lat,lon,obs_count,mean_T_count,max_T_count,min_T_count,DTR_T_count,mean_T_ratio,max_T_ration,min_T_ratio,DTR_T_ratio,
89860099999,-74.233,160.283,1931,28,50,39,36,0.014500259,0.02589332,0.020196789,0.01864319,
89744099999,-74.0166666,43.05,5140,101,139,103,74,0.019649805,0.027042802,0.020038911,0.014396887,
89757099999,-73.8333333,55.6666666,2193,7,15,7,14,0.003191974,0.006839945,0.003191974,0.006383949,
89659099999,-73.6333333,160.65,5643,77,125,79,96,0.013645224,0.022151338,0.013999646,0.017012228,
89661099999,-73.5166666,169.75,6757,17,61,22,36,0.002515909,0.009027675,0.003255883,0.005327808,
89774099999,-73.45,76.7833333,1401,17,18,18,11,0.01213419,0.012847966,0.012847966,0.007851535,
89327099999,-73.2,-127.05,5535,35,56,42,49,0.006323397,0.010117435,0.007588076,0.008852755,
89016099999,-73.1166666,-13.15,1897,12,19,37,18,0.006325778,0.010015814,0.019504481,0.009488666,
89014099999,-73.05,-13.3833333,6060,21,11,39,13,0.003465347,0.001815182,0.006435644,0.002145215,
89266099999,-72.2,-60.1666666,9825,173,326,131,270,0.017608142,0.033180662,0.013333333,0.027480916,
89504099999,-72.0166666,2.5333333,6239,53,60,86,58,0.008494951,0.009616926,0.01378426,0.009296362,
89879099999,-71.8833333,171.2,9419,11,25,21,24,0.001167852,0.00265421,0.002229536,0.002548041,
89004099999,-71.7,-2.8,8356,15,31,16,30,0.001795117,0.003709909,0.001914792,0.003590235,
89646099999,-71.65,148.65,1396,17,16,31,29,0.01217765,0.011461318,0.022206304,0.020773639,
89813099999,-71.6,111.2666666,2552,21,28,26,29,0.00822884,0.010971787,0.010188088,0.011363636,
89264099999,-71.4333333,-68.9333333,3235,26,43,65,69,0.008037094,0.013292117,0.020092736,0.021329212,
89065099999,-71.3166666,-68.2833333,4928,117,114,145,71,0.023741883,0.023133117,0.029423701,0.014407468,
89758099999,-71.3,59.2166666,2091,17,27,22,17,0.008130081,0.012912482,0.010521282,0.008130081,
89003099999,-71.15,-6.6833333,4066,8,18,26,27,0.001967536,0.004426955,0.006394491,0.006640433,
89767099999,-70.9,69.8666666,7604,53,61,161,135,0.006970016,0.008022094,0.021173067,0.017753814,
89576099999,-70.8333333,77.0666666,1805,5,8,11,5,0.002770083,0.004432133,0.006094183,0.002770083,
89512099999,-70.7666666,11.8333333,14385,22,52,115,64,0.001529371,0.003614877,0.007994439,0.004449079,
89514099999,-70.7666666,11.75,5463,5,5,18,10,0.000915248,0.000915248,0.003294893,0.001830496,
89002099999,-70.6666666,-8.25,13746,262,170,522,312,0.01906009,0.012367234,0.037974684,0.022697512,
89001099999,-70.3,-2.35,4550,72,51,131,104,0.015824176,0.011208791,0.028791209,0.022857143,
89657099999,-69.5,159.3833333,4416,5,27,13,11,0.001132246,0.00611413,0.002943841,0.002490942,
89574099999,-69.3833333,76.3833333,7630,76,106,137,87,0.009960682,0.013892529,0.017955439,0.011402359,
89573099999,-69.3666666,76.3666666,6072,55,74,103,40,0.009057971,0.012187088,0.016963109,0.006587615,
89586099999,-69.1166666,85.9833333,2722,3,4,5,1,0.001102131,0.001469508,0.001836885,0.000367377,
89532099999,-69,39.5833333,15423,192,160,312,197,0.01244894,0.010374117,0.020229527,0.012773131,
89762099999,-68.65,61.1166666,2304,11,18,26,14,0.004774306,0.0078125,0.011284722,0.006076389,
89571099999,-68.5833333,77.9666666,16145,162,182,214,135,0.010034066,0.01127284,0.013254878,0.008361722,
89803099999,-68.5,102.1833333,2757,7,12,12,8,0.002538992,0.004352557,0.004352557,0.002901705,
89570099999,-68.4666666,78.8166666,1190,2,6,7,11,0.001680672,0.005042017,0.005882353,0.009243697,
89812099999,-68.4,112.2166666,1437,0,1,0,3,0,0.000695894,0,0.002087683,
89066099999,-68.1166666,-67.1333333,15555,227,238,298,250,0.014593378,0.015300546,0.019157827,0.016072003,
89542099999,-67.6666666,45.85,7984,45,77,117,34,0.005636273,0.009644289,0.014654309,0.004258517,
94986099999,-67.6,62.883,2542,4,10,9,8,0.001573564,0.00393391,0.003540519,0.003147128,
89564099999,-67.6,62.8666666,13686,14,35,42,34,0.001022943,0.002557358,0.003068829,0.002484291,
89062099999,-67.5666666,-68.1166666,8843,43,49,71,49,0.004862603,0.005541106,0.008028949,0.005541106,
89834099999,-67.4,138.7333333,3462,22,32,28,24,0.006354708,0.009243212,0.008087811,0.006932409,
89371099999,-67.3666666,-179.9666666,1531,27,32,28,21,0.017635532,0.020901372,0.0182887,0.013716525,
89262099999,-67.0166666,-61.4666666,8323,236,277,307,296,0.02835516,0.033281269,0.036885738,0.035564099,
89816099999,-66.7666666,112.8166666,1258,8,10,12,12,0.0063593,0.007949126,0.009538951,0.009538951,
89811099999,-66.7333333,112.8333333,6356,27,57,48,84,0.004247955,0.008967904,0.007551919,0.013215859,
89832099999,-66.7166666,139.8333333,3259,5,12,8,21,0.001534213,0.003682111,0.002454741,0.006443694,
89614099999,-66.7,111.5,5923,24,37,51,48,0.004052001,0.006246834,0.008610501,0.008104001,
89615099999,-66.6833333,111.5333333,2560,3,3,11,12,0.001171875,0.001171875,0.004296875,0.0046875,
95502099999,-66.667,140.017,1958,0,3,5,7,0,0.001532176,0.002553626,0.003575077,
89642099999,-66.6666666,140.0166666,12645,16,35,63,53,0.001265322,0.002767892,0.004982206,0.00419138,
89815099999,-66.5833333,110.7,4553,51,65,88,52,0.011201406,0.014276301,0.019327916,0.011421041,
89592099999,-66.55,93.0166666,14364,84,97,189,74,0.005847953,0.006752994,0.013157895,0.005151768,
89807099999,-66.55,107.75,3528,27,25,37,12,0.007653061,0.007086168,0.010487528,0.003401361,
89611099999,-66.2833333,110.5333333,16168,127,150,198,118,0.007855022,0.009277585,0.012246413,0.007298367,
89809099999,-66.2833333,110.7666666,3543,18,21,74,60,0.00508044,0.00592718,0.020886255,0.016934801,
89660099999,-66.283,162.333,1463,34,43,34,23,0.023239918,0.029391661,0.023239918,0.015721121,
89612099999,-66.283,110.8,1229,16,12,36,53,0.013018714,0.009764036,0.029292107,0.043124491,
89610099999,-65.85,113.0666666,3952,12,23,27,30,0.003036437,0.005819838,0.006831984,0.007591093,
88952099999,-65.25,-64.267,1680,12,12,21,11,0.007142857,0.007142857,0.0125,0.006547619,
89063099999,-65.25,-64.2666666,7252,27,20,34,22,0.003723111,0.00275786,0.004688362,0.003033646,
88971099999,-64.883,-62.883,3273,3,24,32,53,0.00091659,0.007332722,0.009776963,0.016193095,
89269099999,-64.7833333,-64.0666666,1545,4,4,17,9,0.002588997,0.002588997,0.011003236,0.005825243,
89061089061,-64.766,-64.083,7947,16,17,29,29,0.002013338,0.002139172,0.003649176,0.003649176,
89055099999,-64.2333333,-56.7166666,17177,425,564,361,566,0.024742388,0.032834604,0.021016476,0.032951039,
89060099999,-64.15,-60.95,1046,2,12,13,21,0.001912046,0.011472275,0.012428298,0.020076482,
