year,Global_ATCw,Global_ATCc,Northern_ATCw,Northern_ATCc,Southern_ATCw,Southern_ATCc
1970,0.0026800730123315995,0.003582980779811148,0.003579624845566347,0.0044895034470601464,2.0599365327695142e-05,0.0009028982599512203
1971,0.0026372891423695035,0.0036842612468406225,0.003521190525157867,0.00457158539564793,2.4085158755897945e-05,0.0010609380508693404
1972,0.0030639873232889375,0.004250760977866575,0.004097362727474657,0.005466626140541587,8.871927646421104e-06,0.0006561250280774816
1973,0.003704370500996352,0.004933932114663581,0.00495035287129025,0.00642103216410181,2.0694746023654082e-05,0.0005374057047095075
1974,0.0029703477990042347,0.004648460521559543,0.003975051045809949,0.006092769341126634,0.0,0.00037844394012301856
1975,0.0024692821956647645,0.003971739755495478,0.003300584543095958,0.00502621406750388,1.1584257641882913e-05,0.0008542466432368837
1976,0.0029636395372706482,0.0044701951544917585,0.0039573835785765695,0.005670588992374846,2.5692003756389765e-05,0.0009212992933203487
1977,0.003243584127544591,0.0044114850278248316,0.004337635917787561,0.0056828976570059905,9.082460035533334e-06,0.000652626164054551
1978,0.0026580557077408814,0.003567830159598011,0.0035538464502759964,0.004580101027965933,9.70151070096107e-06,0.0005751091194178703
1979,0.0030419769073549894,0.004311635337836632,0.004065943116041778,0.005522714204911143,1.4679261112114592e-05,0.0007311497977804896
1980,0.0038678247218224184,0.004881702475668525,0.0051690118830709985,0.006292414711939766,2.093915357593767e-05,0.000711012274995841
1981,0.0031434292806452636,0.004159317063388033,0.004201809363748205,0.0053119146847795725,1.4388979093749545e-05,0.0007517279879842341
1982,0.0034585279393031226,0.004251331732007744,0.0046242820304223005,0.005425688178099428,1.2042512143323628e-05,0.0007794139334088395
1983,0.0026034624157508343,0.0035971740473608417,0.00347968936516358,0.00453470038825604,1.2947456342483123e-05,0.0008254309361085536
1984,0.002683730818391173,0.003843160428341219,0.0035896223628784376,0.004856060945894495,5.5141769507490025e-06,0.0008485778662860289
1985,0.003225906117210362,0.004318836359197693,0.004315044802479794,0.005524518738938997,5.929764107150824e-06,0.0007543052259014752
1986,0.002391901199706675,0.0034081636419649565,0.0031884081781090585,0.004397250179418812,3.7073784038391044e-05,0.0004839857527310591
1987,0.0029806604350058616,0.00414563334872794,0.003971236937092775,0.005296411701783873,5.2077550384051895e-05,0.0007434228363114255
1988,0.003544905483452609,0.0044784461319061705,0.00473644584277858,0.005818418339474267,2.2184426263644482e-05,0.0005168947881327099
1989,0.0028059345798623022,0.003969362610477013,0.0037453329074442565,0.005076605222661168,2.8657046826815205e-05,0.0006958630308534848
1990,0.0026939384684162284,0.0037444509592378136,0.003597935590089562,0.004751162383117237,2.1322579888302277e-05,0.000768166099345336
1991,0.002899765081651642,0.003952732539386203,0.003880594125807993,0.005157672990971234,0.0,0.0003903948743334754
1992,0.003077778334877635,0.004323432860817585,0.004117798117095006,0.005672933701965819,3.0192148569851225e-06,0.00033371065577512233
1993,0.0026819227387651343,0.003762064516768697,0.003585900284398044,0.004817780498134446,9.36472568328366e-06,0.0006409004799317158
1994,0.0028228577665227205,0.004066044226455924,0.003769003842697829,0.005278153787753891,2.563089994459038e-05,0.0004825114977619226
1995,0.0027739533832442575,0.0037984033680306525,0.003711292211589482,0.0049193085629478895,2.76464214243035e-06,0.00048451114244031103
1996,0.0021023883601854385,0.0037054836978485887,0.0028074479013209487,0.004738073810418573,1.7920072820800945e-05,0.0006526899720422053
1997,0.0023290224432554966,0.0032463919957406513,0.00311575746442113,0.004177334435270945,3.0852613576616808e-06,0.0004941138130533732
1998,0.002539222425197163,0.0035799734484533927,0.003378883277133095,0.004565352454534404,5.6813045723733305e-05,0.0006667566640910866
1999,0.002084471452574445,0.002775548536314743,0.0027800554701221856,0.0033636100823624796,2.8017009817983113e-05,0.0010369781429817768
2000,0.0029937561378175688,0.004029276195933532,0.003988338203291428,0.0052183307876344665,5.333103368664993e-05,0.0005139041688361259
2001,0.0029705663130539144,0.003830994955712733,0.003969957489578034,0.004972935865257749,1.5923346615171386e-05,0.00045491184057987974
2002,0.0033711570366015938,0.004952251089678075,0.004499504917423439,0.0062413753705723,3.5260934975500496e-05,0.001141028738629437
2003,0.0022635366664031206,0.0034247310172580156,0.003021162630071076,0.004362535750676232,2.365875140246486e-05,0.0006521648544025448
2004,0.002131840913138047,0.0030403733101439586,0.0028437751429202644,0.0037304558660839955,2.704800120838655e-05,0.0010001836245978506
2005,0.00224636602536565,0.003312418871820047,0.0030004838370593263,0.004156885122378599,1.6859761425645234e-05,0.0008158026056191963
2006,0.0021947148162424013,0.0029480234104399413,0.0029329489561086106,0.0037977528775796493,1.2167721393194982e-05,0.00043584674485029563
2007,0.002056004059661522,0.002905105077440258,0.002750454058858076,0.0037358782880631343,2.9022774286397e-06,0.0004489715021871337
2008,0.00220500937270047,0.0036593491218728596,0.002942802405720311,0.0045763249547274495,2.3766385063415614e-05,0.0009483624145845425
2009,0.0020149780675208424,0.002500724607552405,0.0026844720466814116,0.0031474584942957212,3.56573339921146e-05,0.0005886927880703463
